set every 1 * transit times
V_SCR_mod = 0.00001

Date/Time		 Flow rate(obs)[L/s]	 Heat inlet(tot)[W]	 Heat inlet(fric)[W]	 Heat inlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 (no signal)V_Q_elec
07/20/17 01:01:12 PM	 0.195882		 1016.832337		 2.675559		 0.000000		 292.777710		 294.017456		 13659.030724		 1.300000	 0.000000	 4.638423	 0.010240	 1.606137	 1.662817	 1.961243	 0.406455		 1.221988
07/20/17 01:01:57 PM	 0.195924		 1013.029307		 2.695522		 0.000000		 292.775537		 294.010343		 13757.990186		 1.300000	 0.000000	 4.637950	 0.010245	 1.605875	 1.662314	 1.961667	 0.409331		 1.221116
07/20/17 01:01:58 PM	 0.195924		 1013.029307		 2.695522		 0.000000		 292.775537		 294.010343		 13757.990186		 1.300000	 0.000000	 4.637950	 0.010245	 1.605875	 1.662314	 1.961667	 0.409331		 1.221116
07/20/17 01:02:42 PM	 0.196466		 986.371016		 2.694411		 0.000000		 292.773944		 293.972844		 13714.380144		 1.300000	 0.000000	 4.638708	 0.010250	 1.606065	 1.660810	 1.967071	 0.408071		 1.221326
07/20/17 01:03:27 PM	 0.196249		 973.647988		 2.688713		 0.000000		 292.774769		 293.959474		 13700.485098		 1.300000	 0.000000	 4.638967	 0.010240	 1.606186	 1.660262	 1.964903	 0.407657		 1.221268
07/20/17 01:04:12 PM	 0.196410		 974.122923		 2.677006		 0.000000		 292.779972		 293.964303		 13629.670316		 1.300000	 0.000000	 4.638412	 0.010240	 1.606240	 1.660293	 1.966503	 0.405603		 1.221166
07/20/17 01:04:57 PM	 0.196374		 971.894005		 2.693862		 0.000000		 292.788820		 293.970632		 13717.995671		 1.300000	 0.000000	 4.638452	 0.010245	 1.606674	 1.660611	 1.966151	 0.408171		 1.221293
07/20/17 01:05:42 PM	 0.196599		 974.236640		 2.693395		 0.000000		 292.787623		 293.970939		 13699.954624		 1.300000	 0.000000	 4.638486	 0.010240	 1.606626	 1.660634	 1.968382	 0.407642		 1.221292
07/20/17 01:06:27 PM	 0.196506		 970.518476		 2.698304		 0.000000		 292.787771		 293.967109		 13731.408787		 1.300000	 0.000000	 4.637853	 0.010240	 1.606414	 1.660227	 1.967457	 0.408555		 1.221239
07/20/17 01:07:12 PM	 0.196160		 972.725998		 2.696365		 0.000000		 292.783349		 293.967461		 13745.732293		 1.300000	 0.000000	 4.639462	 0.010240	 1.606761	 1.660817	 1.964013	 0.408970		 1.221350
