set every 2 * transit times
V_SCR_mod = 0.000001


Date/Time		 Flow rate(obs)[L/s]	 Heat inlet(tot)[W]	 Heat inlet(fric)[W]	 Heat inlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 (no signal)V_Q_elec
07/21/17 02:13:19 PM	 0.197037		 1007.859242		 2.597777		 0.000000		 293.120193		 294.342016		 13184.223283		 1.300000	 0.000000	 4.637443	 0.010240	 1.621953	 1.677872	 1.972744	 0.392682		 1.222043
07/21/17 02:14:03 PM	 0.196886		 928.899029		 2.649106		 0.000000		 293.122547		 294.249179		 13455.010947		 1.300000	 0.000000	 4.636547	 0.010240	 1.621752	 1.673140	 1.971245	 0.400537		 1.221792
07/21/17 02:14:48 PM	 0.196719		 923.958955		 2.661320		 0.000000		 293.131333		 294.252897		 13528.543617		 1.300000	 0.000000	 4.635463	 0.010240	 1.621789	 1.672927	 1.969578	 0.402670		 1.221336
07/21/17 02:15:33 PM	 0.196830		 939.156642		 2.646099		 0.000000		 293.125438		 294.264878		 13443.567269		 1.300000	 0.000000	 4.636642	 0.010240	 1.621922	 1.673920	 1.970686	 0.400205		 1.221720
07/21/17 02:16:18 PM	 0.197509		 927.134811		 2.665105		 0.000000		 293.128599		 294.249520		 13493.583369		 1.300000	 0.000000	 4.635984	 0.010240	 1.621842	 1.672954	 1.977448	 0.401656		 1.221671
07/21/17 02:17:03 PM	 0.197248		 930.242617		 2.657163		 0.000000		 293.129342		 294.255532		 13471.189964		 1.300000	 0.000000	 4.635175	 0.010246	 1.621599	 1.672952	 1.974852	 0.401012		 1.221714
07/21/17 02:17:48 PM	 0.196517		 948.003059		 2.636884		 0.000000		 293.108039		 294.260081		 13418.091908		 1.300000	 0.000000	 4.636321	 0.010240	 1.620988	 1.673577	 1.967567	 0.399466		 1.221788
07/21/17 02:18:33 PM	 0.196549		 934.682114		 2.642760		 0.000000		 293.105127		 294.240739		 13445.795808		 1.300000	 0.000000	 4.637075	 0.010240	 1.621113	 1.672929	 1.967888	 0.400270		 1.221800
07/21/17 02:19:18 PM	 0.196392		 936.780020		 2.641482		 0.000000		 293.090249		 294.229324		 13450.048341		 1.300000	 0.000000	 4.637933	 0.010240	 1.620710	 1.672696	 1.966322	 0.400393		 1.221770
07/21/17 02:20:03 PM	 0.196180		 938.867810		 2.641443		 0.000000		 293.086234		 294.229091		 13464.419313		 1.300000	 0.000000	 4.638558	 0.010240	 1.620737	 1.672909	 1.964205	 0.400810		 1.221337
07/21/17 02:20:48 PM	 0.197165		 954.270453		 2.646774		 0.000000		 293.094075		 294.249928		 13424.171552		 1.300000	 0.000000	 4.637013	 0.010240	 1.620570	 1.673343	 1.974019	 0.399642		 1.221648
07/21/17 02:21:33 PM	 0.196912		 962.195486		 2.632806		 0.000000		 293.096873		 294.263872		 13370.501231		 1.300000	 0.000000	 4.636668	 0.010240	 1.620582	 1.673881	 1.971496	 0.398085		 1.221705
07/21/17 02:22:18 PM	 0.196872		 970.677410		 2.634259		 0.000000		 293.096980		 294.274532		 13380.588261		 1.300000	 0.000000	 4.636254	 0.010240	 1.620443	 1.674239	 1.971100	 0.398378		 1.221844
07/21/17 02:23:03 PM	 0.196706		 971.510581		 2.623879		 0.000000		 293.099787		 294.279360		 13339.082808		 1.300000	 0.000000	 4.632833	 0.010246	 1.619389	 1.673241	 1.969456	 0.397180		 1.221129
07/21/17 02:23:48 PM	 0.196653		 958.398937		 2.624486		 0.000000		 293.088343		 294.252256		 13345.738328		 1.300000	 0.000000	 4.636410	 0.010240	 1.620089	 1.673237	 1.968926	 0.397367		 1.221788
07/21/17 02:24:33 PM	 0.196916		 969.426116		 2.629733		 0.000000		 293.077382		 294.253147		 13354.618009		 1.300000	 0.000000	 4.639714	 0.010251	 1.620729	 1.674474	 1.971549	 0.397636		 1.222563
07/21/17 02:25:18 PM	 0.197103		 971.254361		 2.629635		 0.000000		 293.073089		 294.249959		 13341.458982		 1.300000	 0.000000	 4.641759	 0.010240	 1.621230	 1.675051	 1.973399	 0.397243		 1.222623
07/21/17 02:26:03 PM	 0.196514		 964.299700		 2.630977		 0.000000		 293.071297		 294.243216		 13388.273616		 1.300000	 0.000000	 4.640034	 0.010246	 1.620549	 1.674114	 1.967538	 0.398607		 1.222459
07/21/17 02:26:48 PM	 0.196065		 966.704066		 2.612419		 0.000000		 293.077284		 294.254848		 13324.256564		 1.300000	 0.000000	 4.640482	 0.010240	 1.620984	 1.674824	 1.963064	 0.396744		 1.222576
07/21/17 02:27:33 PM	 0.196548		 972.194544		 2.624460		 0.000000		 293.079949		 294.261296		 13352.779407		 1.300000	 0.000000	 4.640275	 0.010246	 1.621041	 1.675059	 1.967880	 0.397577		 1.222507
07/21/17 02:28:18 PM	 0.196806		 968.943288		 2.631993		 0.000000		 293.083008		 294.258839		 13373.526497		 1.300000	 0.000000	 4.640088	 0.010240	 1.621117	 1.674872	 1.970447	 0.398173		 1.222617
07/21/17 02:29:03 PM	 0.196859		 969.433728		 2.627109		 0.000000		 293.087556		 294.263675		 13345.109373		 1.300000	 0.000000	 4.637916	 0.010240	 1.620576	 1.674321	 1.970976	 0.397349		 1.222541
07/21/17 02:29:48 PM	 0.196807		 972.760473		 2.632880		 0.000000		 293.088284		 294.268754		 13377.951399		 1.300000	 0.000000	 4.638607	 0.010246	 1.620855	 1.674814	 1.970465	 0.398307		 1.222673
07/21/17 02:30:33 PM	 0.196372		 981.132006		 2.611317		 0.000000		 293.088914		 294.282242		 13297.825130		 1.300000	 0.000000	 4.639180	 0.010240	 1.621080	 1.675657	 1.966120	 0.395977		 1.222784
07/21/17 02:31:18 PM	 0.196434		 978.626713		 2.615047		 0.000000		 293.080580		 294.270464		 13312.564588		 1.300000	 0.000000	 4.639883	 0.010240	 1.620931	 1.675350	 1.966745	 0.396405		 1.223088
07/21/17 02:32:04 PM	 0.196928		 985.665303		 2.632378		 0.000000		 293.080647		 294.276089		 13367.218561		 1.250000	 0.000000	 4.638291	 0.010240	 1.620380	 1.675045	 1.971659	 0.397990		 1.222638
07/21/17 02:32:49 PM	 0.196988		 981.171847		 2.626286		 0.000000		 293.081357		 294.270976		 13332.191663		 1.250000	 0.000000	 4.639243	 0.010240	 1.620745	 1.675145	 1.972261	 0.396974		 1.222491
07/21/17 02:33:34 PM	 0.197101		 898.542895		 2.636819		 0.000000		 293.085258		 294.173769		 13377.975914		 1.250000	 0.000000	 4.640424	 0.010240	 1.621341	 1.670951	 1.973389	 0.398302		 1.222466
07/21/17 02:34:19 PM	 0.197466		 889.063215		 2.645889		 0.000000		 293.081387		 294.156378		 13399.240877		 1.250000	 0.000000	 4.640747	 0.010240	 1.621270	 1.670241	 1.977015	 0.398919		 1.222597
07/21/17 02:35:04 PM	 0.196889		 873.385406		 2.635164		 0.000000		 293.083591		 294.142673		 13384.015721		 1.250000	 0.000000	 4.639002	 0.010240	 1.620767	 1.668965	 1.971271	 0.398477		 1.222128
07/21/17 02:35:49 PM	 0.196438		 877.542434		 2.622919		 0.000000		 293.087168		 294.153765		 13352.379511		 1.250000	 0.000000	 4.640181	 0.010240	 1.621346	 1.669914	 1.966783	 0.397560		 1.222531
07/21/17 02:36:34 PM	 0.196897		 894.060812		 2.632939		 0.000000		 293.082507		 294.166700		 13372.182786		 1.250000	 0.000000	 4.640921	 0.010240	 1.621383	 1.670794	 1.971349	 0.398134		 1.222778
07/21/17 02:37:19 PM	 0.196472		 890.935173		 2.619379		 0.000000		 293.081078		 294.163821		 13332.066791		 1.250000	 0.000000	 4.640710	 0.010240	 1.621243	 1.670582	 1.967119	 0.396971		 1.222461
07/21/17 02:38:04 PM	 0.196756		 883.414621		 2.623345		 0.000000		 293.076265		 294.148280		 13332.956019		 1.312187	 0.000000	 4.637592	 0.010240	 1.619930	 1.668726	 1.969952	 0.396996		 1.221872
07/21/17 02:38:49 PM	 0.196375		 881.623408		 2.612862		 0.000000		 293.084955		 294.156884		 13305.469117		 1.312187	 0.000000	 4.639899	 0.010246	 1.621147	 1.669965	 1.966159	 0.396205		 1.222407
07/21/17 02:39:34 PM	 0.197244		 965.388944		 2.635520		 0.000000		 293.079378		 294.248278		 13361.747188		 1.312187	 0.000000	 4.640301	 0.010240	 1.621020	 1.674447	 1.974805	 0.397832		 1.222660
07/21/17 02:40:19 PM	 0.196837		 1008.497395		 2.625814		 0.000000		 293.077647		 294.301430		 13340.011850		 1.312187	 0.000000	 4.639923	 0.010240	 1.620807	 1.676836	 1.970759	 0.397201		 1.222450
07/21/17 02:41:04 PM	 0.196613		 1010.220773		 2.618545		 0.000000		 293.078416		 294.305704		 13318.261956		 1.312187	 0.000000	 4.639738	 0.010240	 1.620779	 1.676973	 1.968524	 0.396570		 1.222419
07/21/17 02:41:49 PM	 0.196528		 1006.591757		 2.625454		 0.000000		 293.079350		 294.302736		 13359.160888		 1.312187	 0.000000	 4.639244	 0.010240	 1.620651	 1.676654	 1.967680	 0.397757		 1.222478
07/21/17 02:42:34 PM	 0.195950		 1001.633081		 2.618037		 0.000000		 293.077622		 294.298569		 13360.767366		 1.312187	 0.000000	 4.636927	 0.010240	 1.619763	 1.675622	 1.961916	 0.397803		 1.222101
07/21/17 02:43:18 PM	 0.196818		 1002.733282		 2.623280		 0.000000		 293.084189		 294.301087		 13328.484321		 1.312187	 0.000000	 4.620171	 0.010240	 1.614243	 1.669710	 1.970561	 0.396867		 1.217145
07/21/17 02:44:03 PM	 0.197029		 1008.846093		 2.623164		 0.000000		 293.099595		 294.322627		 13313.618720		 1.307522	 0.000000	 4.625191	 0.010240	 1.616715	 1.672538	 1.972663	 0.396435		 1.216600
07/21/17 02:44:49 PM	 0.196577		 993.852182		 2.624281		 0.000000		 293.060627		 294.268179		 13349.880545		 1.307522	 0.000000	 4.633902	 0.010240	 1.617909	 1.673091	 1.968166	 0.397487		 1.220255
07/21/17 02:45:34 PM	 0.197288		 1016.276406		 2.639621		 0.000000		 293.066160		 294.296570		 13379.538725		 1.307522	 0.000000	 4.635147	 0.010240	 1.618603	 1.674887	 1.975245	 0.398348		 1.221277
07/21/17 02:46:19 PM	 0.196569		 1009.351755		 2.626412		 0.000000		 293.057315		 294.283798		 13361.243105		 1.307522	 0.000000	 4.633051	 0.010240	 1.617457	 1.673526	 1.968089	 0.397817		 1.220424
07/21/17 02:47:04 PM	 0.196798		 1013.701008		 2.627154		 0.000000		 293.076285		 294.306647		 13349.523550		 1.307522	 0.000000	 4.633739	 0.010240	 1.618591	 1.674858	 1.970362	 0.397477		 1.221051
