Date/Time		 Flow rate(obs)[L/s]	 Heat inlet(tot)[W]	 Heat inlet(fric)[W]	 Heat inlet(elec)[W]	 Temperature 1(obs)[K]	 Temperature 2(obs)[K]	 Pressure drop[Pa]	 V_SCR		 V_pump		 V_S		 V_G		 V_R1		 V_R2		 V_flow		 V_deltaPressure	 (no signal)V_Q_elec
07/19/17 12:11:24 PM	 0.264403		 862.901094		 0.387951		 0.000000		 294.783691		 295.565330		 1467.273237		 0.000000	 0.000000	 4.619650	 0.010240	 1.694487	 1.729580	 2.961557	 0.052802		 1.225511
07/19/17 12:11:25 PM	 0.263822		 937.458334		 0.387045		 0.000000		 294.785058		 295.636144		 1467.066394		 0.000000	 0.000000	 4.619431	 0.010240	 1.694472	 1.732875	 2.955077	 0.052796		 1.222179
07/19/17 12:11:25 PM	 0.257976		 923.570575		 0.378228		 0.000000		 294.868023		 295.725532		 1466.135602		 0.000000	 0.000000	 4.608215	 0.010240	 1.694313	 1.732937	 2.889818	 0.052769		 1.219325
07/19/17 12:11:26 PM	 0.256204		 938.308303		 0.375816		 0.000000		 294.725409		 295.602591		 1466.859552		 0.000000	 0.000000	 4.615023	 0.010240	 1.690026	 1.729629	 2.870044	 0.052790		 1.219224
07/19/17 12:11:27 PM	 0.255511		 927.921240		 0.374596		 0.000000		 294.779244		 295.649084		 1466.066655		 0.000000	 0.000000	 4.607603	 0.010240	 1.689874	 1.729070	 2.862302	 0.052767		 1.219657
07/19/17 12:11:28 PM	 0.255695		 898.333350		 0.374945		 0.000000		 294.993879		 295.835427		 1466.376919		 0.000000	 0.000000	 4.589800	 0.010240	 1.693524	 1.731249	 2.864355	 0.052776		 1.221338
07/19/17 12:11:29 PM	 0.255452		 953.248386		 0.374773		 0.000000		 294.701909		 295.595685		 1467.100868		 0.000000	 0.000000	 4.617332	 0.010240	 1.689751	 1.730162	 2.861643	 0.052797		 1.221705
07/19/17 12:11:30 PM	 0.255587		 911.811497		 0.374963		 0.000000		 294.813544		 295.668030		 1467.066394		 0.000000	 0.000000	 4.614622	 0.010240	 1.694069	 1.732597	 2.863149	 0.052796		 1.219135
07/19/17 12:11:31 PM	 0.257302		 915.549432		 0.377479		 0.000000		 294.786772		 295.639032		 1467.066394		 0.000000	 0.000000	 4.618811	 0.010240	 1.694327	 1.732781	 2.882297	 0.052796		 1.221872
07/19/17 12:11:32 PM	 0.257717		 914.195187		 0.377519		 0.000000		 294.789076		 295.638707		 1464.860072		 0.000000	 0.000000	 4.618708	 0.010240	 1.694399	 1.732727	 2.886923	 0.052732		 1.221876
07/19/17 12:11:32 PM	 0.257791		 913.707398		 0.378205		 0.000000		 294.828173		 295.677118		 1467.100868		 0.000000	 0.000000	 4.613486	 0.010240	 1.694349	 1.732605	 2.887749	 0.052797		 1.221642
07/19/17 12:11:33 PM	 0.257792		 919.528179		 0.377824		 0.000000		 294.807507		 295.661852		 1465.618495		 0.000000	 0.000000	 4.615861	 0.010240	 1.694235	 1.732766	 2.887763	 0.052754		 1.217550
07/19/17 12:11:34 PM	 0.257846		 914.535363		 0.378108		 0.000000		 294.781189		 295.630706		 1466.411393		 0.000000	 0.000000	 4.617176	 0.010240	 1.693464	 1.731773	 2.888369	 0.052777		 1.220126
07/19/17 12:11:35 PM	 0.257894		 912.274701		 0.377876		 0.000000		 294.791374		 295.638637		 1465.239284		 0.000000	 0.000000	 4.617826	 0.010240	 1.694186	 1.732394	 2.888901	 0.052743		 1.214203
07/19/17 12:11:36 PM	 0.258189		 912.367205		 0.378718		 0.000000		 294.691901		 295.538249		 1466.825078		 0.000000	 0.000000	 4.631380	 0.010240	 1.694395	 1.732661	 2.892197	 0.052789		 1.221406
07/19/17 12:11:37 PM	 0.258376		 915.780555		 0.379091		 0.000000		 294.791145		 295.640075		 1467.204290		 0.000000	 0.000000	 4.618611	 0.010240	 1.694462	 1.732756	 2.894289	 0.052800		 1.221992
07/19/17 12:11:38 PM	 0.258631		 914.521493		 0.379393		 0.000000		 294.791993		 295.638920		 1466.928499		 0.000000	 0.000000	 4.618539	 0.010240	 1.694476	 1.732674	 2.897131	 0.052792		 1.221905
07/19/17 12:11:39 PM	 0.258753		 916.997235		 0.379474		 0.000000		 294.789610		 295.638431		 1466.549288		 0.000000	 0.000000	 4.618893	 0.010240	 1.694492	 1.732783	 2.898489	 0.052781		 1.221952
07/19/17 12:11:39 PM	 0.258819		 916.743740		 0.379705		 0.000000		 294.788440		 295.636808		 1467.066394		 0.000000	 0.000000	 4.618862	 0.010240	 1.694425	 1.732694	 2.899231	 0.052796		 1.221875
07/19/17 12:11:40 PM	 0.258826		 917.907700		 0.379573		 0.000000		 294.794844		 295.644269		 1466.514814		 0.000000	 0.000000	 4.618373	 0.010240	 1.694551	 1.732867	 2.899310	 0.052780		 1.221856
07/19/17 12:11:41 PM	 0.258847		 915.025292		 0.379754		 0.000000		 294.793126		 295.639815		 1467.100868		 0.000000	 0.000000	 4.618572	 0.010240	 1.694542	 1.732729	 2.899537	 0.052797		 1.221913
07/19/17 12:11:42 PM	 0.258852		 917.524265		 0.379486		 0.000000		 294.793633		 295.642616		 1466.032181		 0.000000	 0.000000	 4.618030	 0.010240	 1.694368	 1.732660	 2.899601	 0.052766		 1.221941
07/19/17 12:11:43 PM	 0.258851		 913.626225		 0.379788		 0.000000		 294.789446		 295.634821		 1467.204290		 0.000000	 0.000000	 4.618690	 0.010240	 1.694410	 1.732535	 2.899592	 0.052800		 1.221873
07/19/17 12:11:44 PM	 0.258866		 914.384068		 0.379684		 0.000000		 294.790593		 295.636624		 1466.721657		 0.000000	 0.000000	 4.618765	 0.010240	 1.694492	 1.732649	 2.899751	 0.052786		 1.221911
07/19/17 12:11:45 PM	 0.258875		 875.615143		 0.379831		 0.000000		 294.791954		 295.602066		 1467.238763		 0.000000	 0.000000	 4.618585	 0.010240	 1.694491	 1.730934	 2.899853	 0.052801		 1.221989
07/19/17 12:11:46 PM	 0.258882		 910.066580		 0.379342		 0.000000		 294.793409		 295.635392		 1465.308231		 0.000000	 0.000000	 4.618371	 0.010240	 1.694482	 1.732443	 2.899931	 0.052745		 1.221976
07/19/17 12:11:46 PM	 0.259048		 916.976048		 0.380148		 0.000000		 294.793363		 295.641197		 1467.480080		 0.000000	 0.000000	 4.618730	 0.010240	 1.694611	 1.732854	 2.901784	 0.052808		 1.221946
07/19/17 12:11:47 PM	 0.259106		 913.745078		 0.380134		 0.000000		 294.796401		 295.641059		 1467.100868		 0.000000	 0.000000	 4.618143	 0.010240	 1.694541	 1.732628	 2.902428	 0.052797		 1.221697
07/19/17 12:11:48 PM	 0.259162		 916.712419		 0.380548		 0.000000		 294.796601		 295.643818		 1468.376398		 0.000000	 0.000000	 4.618262	 0.010240	 1.694594	 1.732804	 2.903062	 0.052834		 1.221954
07/19/17 12:11:49 PM	 0.259187		 911.997813		 0.380316		 0.000000		 294.799484		 295.642262		 1467.342185		 0.000000	 0.000000	 4.617698	 0.010240	 1.694525	 1.732519	 2.903337	 0.052804		 1.221858
07/19/17 12:11:50 PM	 0.259184		 911.352173		 0.380177		 0.000000		 294.797219		 295.639410		 1466.825078		 0.000000	 0.000000	 4.618332	 0.010240	 1.694649	 1.732620	 2.903301	 0.052789		 1.221889
07/19/17 12:11:51 PM	 0.259196		 913.371378		 0.380330		 0.000000		 294.710501		 295.554492		 1467.342185		 0.000000	 0.000000	 4.629518	 0.010240	 1.694603	 1.732743	 2.903440	 0.052804		 1.221882
07/19/17 12:11:52 PM	 0.259186		 910.642057		 0.380154		 0.000000		 294.797812		 295.639339		 1466.721657		 0.000000	 0.000000	 4.618408	 0.010240	 1.694705	 1.732645	 2.903329	 0.052786		 1.221982
07/19/17 12:11:53 PM	 0.259182		 920.606508		 0.380264		 0.000000		 294.785227		 295.635977		 1467.169816		 0.000000	 0.000000	 4.618473	 0.010240	 1.694130	 1.732509	 2.903283	 0.052799		 1.222006
07/19/17 12:11:53 PM	 0.259188		 916.684608		 0.380201		 0.000000		 294.795495		 295.642603		 1466.894026		 0.000000	 0.000000	 4.618425	 0.010240	 1.694601	 1.732807	 2.903349	 0.052791		 1.221841
07/19/17 12:11:54 PM	 0.259207		 911.632976		 0.380265		 0.000000		 294.799934		 295.642310		 1467.031921		 0.000000	 0.000000	 4.617954	 0.010240	 1.694640	 1.732617	 2.903559	 0.052795		 1.221800
07/19/17 12:11:55 PM	 0.259204		 920.258893		 0.380144		 0.000000		 294.787739		 295.638097		 1466.583761		 0.000000	 0.000000	 4.618644	 0.010240	 1.694312	 1.732674	 2.903526	 0.052782		 1.221708
07/19/17 12:11:56 PM	 0.259205		 913.255487		 0.380235		 0.000000		 294.801213		 295.645097		 1466.928499		 0.000000	 0.000000	 4.618072	 0.010240	 1.694744	 1.732794	 2.903534	 0.052792		 1.221930
07/19/17 12:11:57 PM	 0.259204		 908.259890		 0.379930		 0.000000		 294.797810		 295.637077		 1465.756391		 0.000000	 0.000000	 4.618255	 0.010240	 1.694649	 1.732480	 2.903526	 0.052758		 1.221854
07/19/17 12:11:58 PM	 0.259204		 911.396997		 0.380296		 0.000000		 294.800688		 295.642856		 1467.169816		 0.000000	 0.000000	 4.618299	 0.010240	 1.694802	 1.732772	 2.903525	 0.052799		 1.221926
07/19/17 12:11:59 PM	 0.259204		 911.785076		 0.380163		 0.000000		 294.796868		 295.639393		 1466.652709		 0.000000	 0.000000	 4.618468	 0.010240	 1.694682	 1.732670	 2.903529	 0.052784		 1.221881
07/19/17 12:12:00 PM	 0.259206		 913.716308		 0.380781		 0.000000		 294.795737		 295.640042		 1469.031400		 0.000000	 0.000000	 4.618741	 0.010240	 1.694728	 1.732803	 2.903546	 0.052853		 1.221988
07/19/17 12:12:00 PM	 0.259215		 912.742478		 0.380276		 0.000000		 294.798559		 295.641935		 1467.031921		 0.000000	 0.000000	 4.618133	 0.010240	 1.694640	 1.732666	 2.903647	 0.052795		 1.221873
07/19/17 12:12:01 PM	 0.259225		 911.614049		 0.380184		 0.000000		 294.798728		 295.641029		 1466.618235		 0.000000	 0.000000	 4.618286	 0.010240	 1.694704	 1.732680	 2.903758	 0.052783		 1.221911
07/19/17 12:12:02 PM	 0.259229		 913.051146		 0.380307		 0.000000		 294.804400		 295.648016		 1467.066394		 0.000000	 0.000000	 4.617764	 0.010240	 1.694783	 1.732818	 2.903809	 0.052796		 1.220807
07/19/17 12:12:03 PM	 0.259224		 907.262163		 0.380182		 0.000000		 294.801730		 295.640011		 1466.618235		 0.000000	 0.000000	 4.617961	 0.010240	 1.694728	 1.732510	 2.903747	 0.052783		 1.221600
07/19/17 12:12:04 PM	 0.259219		 919.055790		 0.380362		 0.000000		 294.787202		 295.636399		 1467.342185		 0.000000	 0.000000	 4.618692	 0.010240	 1.694304	 1.732611	 2.903689	 0.052804		 1.221708
07/19/17 12:12:05 PM	 0.259239		 917.439972		 0.380249		 0.000000		 294.800429		 295.648071		 1466.790604		 0.000000	 0.000000	 4.617337	 0.010240	 1.694438	 1.732661	 2.903912	 0.052788		 1.221891
07/19/17 12:12:06 PM	 0.259236		 789.936084		 0.380326		 0.000000		 294.895665		 295.625471		 1467.100868		 0.000000	 0.000000	 4.618050	 0.010240	 1.699231	 1.731850	 2.903888	 0.052797		 1.221592
07/19/17 12:12:07 PM	 0.259240		 902.269528		 0.380134		 0.000000		 294.803350		 295.636966		 1466.342445		 0.000000	 0.000000	 4.617999	 0.010240	 1.694819	 1.732379	 2.903924	 0.052775		 1.221892
07/19/17 12:12:07 PM	 0.259236		 908.256035		 0.380316		 0.000000		 294.814846		 295.654011		 1467.066394		 0.000000	 0.000000	 4.616807	 0.010240	 1.694930	 1.732746	 2.903882	 0.052796		 1.221822
07/19/17 12:12:08 PM	 0.259241		 907.342460		 0.380127		 0.000000		 294.805287		 295.643589		 1466.307971		 0.000000	 0.000000	 4.617922	 0.010240	 1.694883	 1.732666	 2.903938	 0.052774		 1.221899
